Category_Value,Count
genre:Documentary;Adventure;Outdoors;Competition reality,77592
genre:Documentary;Adventure;Special;Action,4346
genre:Documentary;Ancient history,7245
genre:Documentary;Animals,578840
genre:Documentary;Animals;Adventure;Special,7926
genre:Documentary;Animals;Holiday,990
genre:Documentary;Animals;Miniseries,3218
genre:Documentary;Animals;Pets,6794
genre:Documentary;Animals;Pets;Family,5564
genre:Documentary;Animals;Special,81473
genre:Documentary;Animals;Special;Science,4080
genre:Documentary;Anthology,22256
genre:Documentary;Anthology;History,3085
genre:Documentary;Anthology;Paranormal,1061196
genre:Documentary;Art,21634
genre:Documentary;Auto,33231
genre:Documentary;Auto racing;Competition reality,819662
genre:Documentary;Aviation,2208749
genre:Documentary;Aviation;Crime drama;History,33106
genre:Documentary;Aviation;History,3892
genre:Documentary;Aviation;Special;History;War,279
genre:Documentary;Basketball,82229
genre:Documentary;Biography,9920
genre:Documentary;Biography;History,31525
genre:Documentary;Biography;History;Miniseries;American history,51938
genre:Documentary;Biography;History;Western;American history,15248
genre:Documentary;Biography;History;World history,161331
genre:Documentary;Biography;Miniseries,53096
genre:Documentary;Biography;Music,55618
genre:Documentary;Biography;Music;Country,31948481
genre:Documentary;Biography;Music;Hip-Hop & rap,51204
genre:Documentary;Biography;Pro wrestling,265563
genre:Documentary;Biography;Special,16860
genre:Documentary;Biography;Special;History;Politics;American history,2529
genre:Documentary;Biography;Special;History;War,6700
genre:Documentary;Biography;Special;History;Western;American history,25855
genre:Documentary;Biography;Special;Music,25150
genre:Documentary;Biography;Special;Music;Country,928
genre:Documentary;Biography;Special;Music;Heavy metal,3546
genre:Documentary;Biography;Special;Music;Pop;Country,6748
genre:Documentary;Biography;Special;Music;Pop;Country;Bluegrass,3262896
genre:Documentary;Biography;Special;Standup,2795
genre:Documentary;Collectibles,5492
genre:Documentary;Comedy,443935
genre:Documentary;Comedy;Biography,3039
genre:Documentary;Comedy;LGBTQ,1116
genre:Documentary;Comedy;Science,17722
genre:Documentary;Comedy;Special,1274
genre:Documentary;Comedy;Special;Standup,22605
genre:Documentary;Community,2232
genre:Documentary;Competition reality,1350977
genre:Documentary;Cooking,85292
genre:Documentary;Cooking;Basketball,8196
genre:Documentary;Cooking;Bus./financial,7694
genre:Documentary;Cooking;Competition reality,38453
genre:Documentary;Cooking;History,1473535
genre:Documentary;Cooking;Travel,191194
genre:Documentary;Crime,240017898
genre:Documentary;Crime;Biography,2129782
genre:Documentary;Crime;Biography;History,54951
genre:Documentary;Crime;Biography;History;American history;World history,2087
genre:Documentary;Crime;Biography;Miniseries,16097
genre:Documentary;Crime;Docudrama,104889
genre:Documentary;Crime;Drama,18295
genre:Documentary;Crime;Fashion,23355
genre:Documentary;Crime;Football,16941
genre:Documentary;Crime;History,253242
genre:Documentary;Crime;Holiday,14975
genre:Documentary;Crime;Interview,2616
genre:Documentary;Crime;Law,20774212
genre:Documentary;Crime;Law;Miniseries,702999
genre:Documentary;Crime;Law;Special,5775
genre:Documentary;Crime;Miniseries,285172
genre:Documentary;Crime;Mystery,25472945
genre:Documentary;Crime;Mystery;Law,329
genre:Documentary;Crime;Mystery;Miniseries,146652
genre:Documentary;Crime;Mystery;Special,92613
genre:Documentary;Crime;Special,964386
genre:Documentary;Crime;Technology,2344059
genre:Documentary;Docudrama,3639
genre:Documentary;Docudrama;History,33426
genre:Documentary;Drama;LGBTQ,9951
genre:Documentary;Drama;Miniseries,4460
genre:Documentary;Drama;Paranormal;Science,1860
genre:Documentary;Drama;Special,27265
genre:Documentary;Educational;Animals;Community,957
genre:Documentary;Educational;Science,170953
genre:Documentary;Fishing,17901
genre:Documentary;Gaming,6218
genre:Documentary;Health,317084
genre:Documentary;Historical drama,29396
genre:Documentary;History,1129701
genre:Documentary;History;American history,745760
genre:Documentary;History;American history;Ancient history;World history,54095
genre:Documentary;History;Ancient history,231892
genre:Documentary;History;Ancient history;World history,16996
genre:Documentary;History;Boat,27148
genre:Documentary;History;Military,30268
genre:Documentary;History;Military;Miniseries;War;World history,2370365
genre:Documentary;History;Military;War,45481
genre:Documentary;History;Military;War;American history,10102
genre:Documentary;History;Military;War;World history,62343
genre:Documentary;History;Miniseries,28122
genre:Documentary;History;Miniseries;American history,51870
genre:Documentary;History;Miniseries;War,2232
genre:Documentary;History;Miniseries;World history,3410
genre:Documentary;History;Religious,135501
genre:Documentary;History;Technology;Ancient history,3510
genre:Documentary;History;Technology;War,209623
genre:Documentary;History;War,86724
genre:Documentary;History;Western,26763
genre:Documentary;History;Western;Technology,2106
genre:Documentary;History;World history,250289
genre:Documentary;Holiday;Medical,1728
genre:Documentary;Holiday;Science,6042
genre:Documentary;Holiday;Science;History;Technology,5210
genre:Documentary;Horror,31489
genre:Documentary;House/garden;Home improvement,242133
genre:Documentary;How-to,92981
genre:Documentary;Independent;American,19984
genre:Documentary;Interview;Horror,2988
genre:Documentary;Interview;Miniseries,9882
genre:Documentary;LGBTQ,16607
genre:Documentary;LGBTQ;Historical drama,9104
genre:Documentary;Medical,589685
genre:Documentary;Military,339582
genre:Documentary;Military;Boat,1088
genre:Documentary;Military;War,95662
genre:Documentary;Military;War;American history,6845
genre:Documentary;Miniseries,2061620
genre:Documentary;Mixed martial arts,169550
genre:Documentary;Motorcycle,60120
genre:Documentary;Multi-sport event,250
genre:Documentary;Music,50753
genre:Documentary;Music;Folk;Rock;Country,835
genre:Documentary;Music;Hip-Hop & rap,17005
genre:Documentary;Music;R&B,561711
genre:Documentary;Music;Rock,196953
genre:Documentary;Music;Rock;TV Series,1802
genre:Documentary;Musical,21539
genre:Documentary;Mystery,1858720
genre:Documentary;Mystery;Adventure;Biography;Travel,6550
genre:Documentary;Mystery;Adventure;Travel,4935
genre:Documentary;Mystery;Adventure;Travel;History,2837808
genre:Documentary;Mystery;Biography,22957
genre:Documentary;Mystery;History,36113759
genre:Documentary;Mystery;History;American history,13971
genre:Documentary;Mystery;History;Military;War,7534
genre:Documentary;Mystery;History;Military;War;Ancient history;World history,17605
genre:Documentary;Mystery;History;Military;War;World history,18854
genre:Documentary;Mystery;History;Religious,44765
genre:Documentary;Mystery;History;Religious;Miniseries,6138
genre:Documentary;Mystery;Paranormal,59186
genre:Documentary;Mystery;Paranormal;History,81886
genre:Documentary;Mystery;Paranormal;Special;History;Military,6259
genre:Documentary;Mystery;Special;History;Religious,3078
